vendor_id,vendor_name,vendor_type,registered_city,risk_level,is_approved_vendor,average_invoice_amount
V001,Amazon Business,Office Supplies,Hyderabad,Low,Yes,5000
V002,Apollo Pharmacy,Medical,Hyderabad,Low,Yes,3000
V003,Dell India,Hardware,Bangalore,Medium,Yes,60000
V004,Local Stationery,Office Supplies,Hyderabad,Low,Yes,1500
V005,Uber,Travel,Mumbai,Low,Yes,1000
V006,CloudServe Pvt Ltd,Software,Hyderabad,Medium,Yes,30000
V007,Hotel Royal,Travel,Chennai,Medium,Yes,8000
V008,Microsoft,Software,Bangalore,Low,Yes,20000
V009,Unknown Vendor,Consulting,Delhi,High,No,50000
V010,Suspicious Vendor Pvt Ltd,Software,Kolkata,High,No,75000
V011,QuickPay Services,Consulting,Hyderabad,High,No,30000
