transaction_id,date,employee_id,department,vendor,category,amount,payment_method,location,transaction_time,approval_status,description,ai_vendor_suggestion,ai_category_suggestion,source_date_column,source_amount_column,source_vendor_column,source_category_column,source_description_column,deviation,amount_abs,vendor_frequency,category_frequency,anomaly,explanation,risk_level,suggested_action,agent_decision
TXN002,2026-05-01,EMP102,HR,Apollo Pharmacy,Medical,2300.0,UPI,Hyderabad,12:15,Approved,First aid supplies,,,date,amount,vendor,category,description,-67952.45,2300.0,1,1,1,New or rare vendor; Rare category or transaction purpose; Unusually low transaction amount,HIGH,Immediate audit review required,HIGH - Immediate audit review required
TXN001,2026-05-01,EMP101,Finance,Amazon Business,Office Supplies,4500.0,Card,Hyderabad,10:30,Approved,Printer cartridges,,,date,amount,vendor,category,description,-65752.45,4500.0,2,4,0,Normal,LOW,No action needed,LOW - No action needed
TXN004,2026-05-02,EMP104,Operations,Local Stationery,Office Supplies,1200.0,Cash,Hyderabad,11:45,Approved,Files and notebooks,,,date,amount,vendor,category,description,-69052.45,1200.0,2,4,0,Normal,LOW,No action needed,LOW - No action needed
TXN003,2026-05-02,EMP103,IT,Dell India,Hardware,58000.0,Bank Transfer,Bangalore,14:10,Approved,Laptop purchase,,,date,amount,vendor,category,description,-12252.449999999995,58000.0,2,2,0,Normal,LOW,No action needed,LOW - No action needed
TXN005,2026-05-03,EMP105,Sales,Uber,Travel,850.0,Card,Mumbai,09:20,Approved,Client travel,,,date,amount,vendor,category,description,-69402.45,850.0,1,3,0,Normal,LOW,No action needed,LOW - No action needed
TXN006,2026-05-03,EMP106,Finance,Unknown Vendor,Consulting,250000.0,Bank Transfer,Delhi,02:15,Pending,Urgent consulting fee,,,date,amount,vendor,category,description,179747.55,250000.0,2,4,1,Amount is significantly higher than average,MEDIUM,"Verify vendor, category, and transaction evidence","MEDIUM - Verify vendor, category, and transaction evidence"
TXN008,2026-05-04,EMP108,Admin,Hotel Royal,Travel,7800.0,Card,Chennai,21:30,Approved,Business stay,,,date,amount,vendor,category,description,-62452.45,7800.0,2,3,0,Normal,LOW,No action needed,LOW - No action needed
TXN007,2026-05-04,EMP107,IT,CloudServe Pvt Ltd,Software,35000.0,Card,Hyderabad,16:00,Approved,Cloud subscription,,,date,amount,vendor,category,description,-35252.45,35000.0,1,3,0,Normal,LOW,No action needed,LOW - No action needed
TXN010,2026-05-05,EMP110,Operations,Fuel Station A,Fuel,3200.0,Card,Hyderabad,08:40,Approved,Vehicle fuel,,,date,amount,vendor,category,description,-67052.45,3200.0,2,2,0,Normal,LOW,No action needed,LOW - No action needed
TXN009,2026-05-05,EMP109,Finance,QuickPay Services,Consulting,99999.0,UPI,Hyderabad,23:50,Approved,Service charge,,,date,amount,vendor,category,description,29746.550000000003,99999.0,2,4,0,Normal,LOW,No action needed,LOW - No action needed
TXN011,2026-05-06,EMP111,Sales,Amazon Business,Office Supplies,4700.0,Card,Hyderabad,10:10,Approved,Office items,,,date,amount,vendor,category,description,-65552.45,4700.0,2,4,0,Normal,LOW,No action needed,LOW - No action needed
TXN012,2026-05-06,EMP112,Finance,Suspicious Vendor Pvt Ltd,Software,500000.0,Bank Transfer,Kolkata,01:10,Approved,One-time software license,,,date,amount,vendor,category,description,429747.55,500000.0,1,3,1,Amount is significantly higher than average; New or rare vendor,HIGH,Immediate audit review required,HIGH - Immediate audit review required
TXN013,2026-05-07,EMP113,HR,Cafe Coffee Day,Food,900.0,UPI,Hyderabad,15:30,Approved,Team snacks,,,date,amount,vendor,category,description,-69352.45,900.0,1,1,1,New or rare vendor; Rare category or transaction purpose; Unusually low transaction amount,HIGH,Immediate audit review required,HIGH - Immediate audit review required
TXN014,2026-05-07,EMP114,IT,Microsoft,Software,18000.0,Card,Bangalore,13:00,Approved,Software licenses,,,date,amount,vendor,category,description,-52252.45,18000.0,1,3,0,Normal,LOW,No action needed,LOW - No action needed
TXN015,2026-05-08,EMP115,Admin,Local Stationery,Office Supplies,1100.0,Cash,Hyderabad,10:50,Approved,Stationery,,,date,amount,vendor,category,description,-69152.45,1100.0,2,4,0,Normal,LOW,No action needed,LOW - No action needed
TXN016,2026-05-08,EMP116,Finance,Unknown Vendor,Consulting,245000.0,Bank Transfer,Delhi,02:05,Approved,Consulting invoice duplicate-like,,,date,amount,vendor,category,description,174747.55,245000.0,2,4,1,Amount is significantly higher than average,MEDIUM,"Verify vendor, category, and transaction evidence","MEDIUM - Verify vendor, category, and transaction evidence"
TXN017,2026-05-09,EMP117,Operations,Fuel Station A,Fuel,3300.0,Card,Hyderabad,09:10,Approved,Vehicle fuel,,,date,amount,vendor,category,description,-66952.45,3300.0,2,2,0,Normal,LOW,No action needed,LOW - No action needed
TXN018,2026-05-09,EMP118,Sales,Hotel Royal,Travel,8200.0,Card,Chennai,20:45,Approved,Client visit stay,,,date,amount,vendor,category,description,-62052.45,8200.0,2,3,0,Normal,LOW,No action needed,LOW - No action needed
TXN020,2026-05-10,EMP120,IT,Dell India,Hardware,61000.0,Bank Transfer,Bangalore,14:20,Approved,Laptop purchase,,,date,amount,vendor,category,description,-9252.449999999995,61000.0,2,2,0,Normal,LOW,No action needed,LOW - No action needed
TXN019,2026-05-10,EMP119,Finance,QuickPay Services,Consulting,100000.0,UPI,Hyderabad,23:55,Approved,Round amount payment,,,date,amount,vendor,category,description,29747.550000000003,100000.0,2,4,0,Normal,LOW,No action needed,LOW - No action needed
