vendor_id,vendor_name,vendor_type,registered_city,risk_level,is_approved_vendor,average_invoice_amount,date,amount,description,vendor,category,ai_vendor_suggestion,ai_category_suggestion,source_date_column,source_amount_column,source_vendor_column,source_category_column,source_description_column,deviation,amount_abs,vendor_frequency,category_frequency,anomaly,explanation
V008,Microsoft,Software,Bangalore,Low,Yes,20000,1954-10-03,20000.0,V008 | Microsoft | Software | Bangalore,Microsoft,Software,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,-5772.727272727272,20000.0,1,3,0,Normal
V006,CloudServe Pvt Ltd,Software,Hyderabad,Medium,Yes,30000,1982-02-18,30000.0,V006 | CloudServe Pvt Ltd | Software | Hyderabad,CloudServe Pvt Ltd,Software,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,4227.272727272728,30000.0,1,3,0,Normal
V011,QuickPay Services,Consulting,Hyderabad,High,No,30000,1982-02-18,30000.0,V011 | QuickPay Services | Consulting | Hyderabad,QuickPay Services,Consulting,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,4227.272727272728,30000.0,1,2,0,Normal
V009,Unknown Vendor,Consulting,Delhi,High,No,50000,2036-11-21,50000.0,V009 | Unknown Vendor | Consulting | Delhi,Unknown Vendor,Consulting,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,24227.272727272728,50000.0,1,2,0,Normal
V003,Dell India,Hardware,Bangalore,Medium,Yes,60000,2064-04-08,60000.0,V003 | Dell India | Hardware | Bangalore,Dell India,Hardware,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,34227.27272727273,60000.0,1,1,1,New or rare vendor; Rare category or transaction purpose
V010,Suspicious Vendor Pvt Ltd,Software,Kolkata,High,No,75000,2105-05-04,75000.0,V010 | Suspicious Vendor Pvt Ltd | Software | Kolkata,Suspicious Vendor Pvt Ltd,Software,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,49227.27272727273,75000.0,1,3,1,New or rare vendor
V005,Uber,Travel,Mumbai,Low,Yes,1000,,1000.0,V005 | Uber | Travel | Mumbai,Uber,Travel,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,-24772.727272727272,1000.0,1,2,0,Normal
V004,Local Stationery,Office Supplies,Hyderabad,Low,Yes,1500,,1500.0,V004 | Local Stationery | Office Supplies | Hyderabad,Local Stationery,Office Supplies,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,-24272.727272727272,1500.0,1,2,0,Normal
V002,Apollo Pharmacy,Medical,Hyderabad,Low,Yes,3000,,3000.0,V002 | Apollo Pharmacy | Medical | Hyderabad,Apollo Pharmacy,Medical,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,-22772.727272727272,3000.0,1,1,1,New or rare vendor; Rare category or transaction purpose; Unusually low transaction amount
V001,Amazon Business,Office Supplies,Hyderabad,Low,Yes,5000,,5000.0,V001 | Amazon Business | Office Supplies | Hyderabad,Amazon Business,Office Supplies,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,-20772.727272727272,5000.0,1,2,0,Normal
V007,Hotel Royal,Travel,Chennai,Medium,Yes,8000,,8000.0,V007 | Hotel Royal | Travel | Chennai,Hotel Royal,Travel,,,average_invoice_amount,average_invoice_amount,vendor_name,vendor_type,,-17772.727272727272,8000.0,1,2,0,Normal
